City,Country,State,Population (2018),Population (2010),2016 Land Area (sq mi),Type,Body,Mayor,Time zone
Worcester, United States, Massachusetts,185877,181045,37.4 sq mi,Council-manager,,Joseph Petty (D),UTC-5 (Eastern)
Brownsville, United States, Texas,183392,175023,132.5 sq mi,Council-Manager,,Vacant,UTC-6 (CST)
Vancouver, United States, Washington,183012,161791,46.9 sq mi,Council/Manager,,Anne McEnerny-Ogle,UTC−8 (Pacific)
Fort Lauderdale, United States, Florida,182595,165521,34.6 sq mi,Commission-Manager,,Dean Trantalis (D),UTC−5 (Eastern (EST))
Sioux Falls,United States, South Dakota,181883,153888,75.4 sq mi,,,Paul Ten Haken,UTC−6 (Central)
Ontario, United States, California,181107,163924,49.9 sq mi,City Council / City Manager,,,UTC−8 (Pacific)
Chattanooga,United States, Tennessee,180557,167674,143.1 sq mi,Mayor-council,,Andy Berke (D),UTC-5 (EST)
Providence, United States, Rhode Island,179335,178042,18.4 sq mi,Mayor-Council,Providence City Council,Jorge Elorza (D),UTC−5 (Eastern Time Zone)
Newport News, United States, Virginia,178626,180719,69.1 sq mi,,,McKinley L. Price (I),UTC−5 (EST)
Rancho Cucamonga, United States, California,177751,165269,40.0 sq mi,Council-Manager,,,UTC−8 (PST)
Santa Rosa, United States, California,177586,167815,41.3 sq mi,Council-Manager,,Tom Schwedhelm,UTC−8 (Pacific)
Oceanside, United States of America, California,176080,167086,41.3 sq mi,Council-manager,,,UTC−8 (Pacific)
Salem,United States, Oregon,173442,154637,48.6 sq mi,City Council – City Manager,,Chuck Bennett (D),UTC−8 (PST)
Elk Grove, United States, California,172886,153015,42.2 sq mi,Council/Manager,,Steve Ly (directly elected),UTC-8 (Pacific)
Garden Grove, United States of America, California,172646,170883,18.0 sq mi,Council-manager,,Steven R. Jones,UTC-8 (Pacific)
Pembroke Pines, United States, Florida,172374,154019,33.0 sq mi,Commission-Manager,,Frank C. Ortis (D),UTC−5 (Eastern (EST))
Peoria,United States, Arizona,172259,154065,175.7 sq mi,,,Cathy Carlat (R),UTC−7 (MST (no DST))
Eugene,United States, Oregon,171245,156185,44.1 sq mi,Council-manager,,Lucy Vinis (D),UTC-8 (PST)
Corona, United States, California,168819,152374,39.5 sq mi,Council-manager,,Jason Scott,UTC-8 (Pacific)
Cary,United States, North Carolina,168160,135234,56.5 sq mi,,,Harold Weinbrecht (D),UTC-5 (EST)
Springfield,United States, Missouri,168122,159498,82.3 sq mi,Council-manager,,Ken McClure,UTC−6 (CST)
Fort Collins,United States, Colorado,167830,143986,55.8 sq mi,Home Rule Municipality,,Wade Troxell,UTC−7 (MST)
Jackson, United States, Mississippi,164422,173514,111.0 sq mi,Mayor–Council,,Chokwe Antar Lumumba (D),UTC−6 (CST)
Alexandria, United States, Virginia,160530,139966,15.0 sq mi,Council-manager,,Justin Wilson (D),UTC-5 (EST)
Hayward, United States, California,159620,144186,45.5 sq mi,Council-Manager,,Barbara Halliday,UTC−8 (Pacific)
Lancaster, United States, California,159053,156633,94.3 sq mi,Council-manager,,R. Rex Parris,UTC-8 (Pacific)
Lakewood,United States, Colorado,156798,142980,42.9 sq mi,Home Rule Municipality,,Adam Paul,UTC-7 (MST)
Clarksville,United States, Tennessee,156794,132929,98.3 sq mi,,,Joe Pitts,UTC−6 (CST)
Palmdale, United States, California,156667,152750,106.0 sq mi,Council-manager,"City council:Steve Hofbauer(mayor),Austin Bishop, Dist-1,Steve Hofbauer, Dist-2,Laura Bettencourt, Dist-3,Juan Carillo, Dist-4",,UTC−8 (Pacific Time Zone)
Salinas,United States, California,156259,150441,23.6 sq mi,Council-Manager,,Joe Gunter,UTC−8 (Pacific)
Springfield, United States, Massachusetts,155032,153060,31.9 sq mi,Mayor-council city,,Domenic Sarno (D),UTC−5 (Eastern)
Hollywood,United States, Florida,154823,140768,27.3 sq mi,Commission-manager,,Josh Levy,UTC−5 (EST)
Pasadena,United States, Texas,153219,149043,43.5 sq mi,Mayor-Council,,Jeff Wagner,UTC−6 (CST)
Sunnyvale, United States, California,153185,140081,22.0 sq mi,Council-manager,,Larry Klein,UTC−8 (PST)
Macon,United States, Georgia,153095,91351,249.3 sq mi,,,Robert Reichert (D),UTC−5 (EST)
Kansas City,United States, Kansas,152958,145786,124.8 sq mi,,,David Alvey,UTC−6 (CST)
Pomona, United States, California,152361,149058,23.0 sq mi,Council-Manager,,,UTC−8 (Pacific)
Escondido, United States of America, California,152213,143911,37.1 sq mi,Council-Manager,,Paul McNamara (D) ,UTC−8 (Pacific)
Killeen, United States, Texas,149103,127921,53.5 sq mi,Council-Manager,,,UTC-6 (Central (CST))
Naperville,United States, Illinois,148304,141853,38.7 sq mi,Council–manager,,Steve Chirico (R),UTC−6 (CST)
Joliet,United States, Illinois,148099,147433,64.4 sq mi,Council-manager,,Bob O'Dekirk (R),UTC-6 (CST)
Bellevue,United States, Washington,147599,122363,33.5 sq mi,,,John Chelminiak,UTC−8 (PST)
Rockford,United States, Illinois,146526,152871,63.5 sq mi,,,Thomas McNamara (D),UTC−6 (CST)
Savannah, United States, Georgia,145862,136286,103.6 sq mi,,,Eddie DeLoach (R),UTC−5 (EST)
Paterson, United States, New Jersey,145627,146199,8.4 sq mi,Faulkner Act Mayor-Council,City Council,Andre Sayegh,UTC−5 (Eastern (EST))
Torrance, United States, California,145182,145438,20.5 sq mi,Council-manager,,,UTC−8 (Pacific)
Bridgeport, United States, Connecticut,144900,144229,16.1 sq mi,Mayor-council,,Joe Ganim (D),UTC-5 (Eastern)
McAllen, United States, Texas,143433,129877,58.4 sq mi,Council-Manager,,,UTC−6 (CST)
Mesquite,United States, Texas,142816,139824,47.2 sq mi,Council-Manager,,Stan Pickett,UTC-6 (CST)
Syracuse, United States, New York,142749,145170,25.0 sq mi,Mayor-Council,,Ben Walsh (I),UTC−5 (Eastern)
Midland, United States, Texas,142344,111147,74.4 sq mi,Council-Manager,,Jerry Morales,UTC−6 (CST)
Pasadena,United States, California,141371,137122,23.0 sq mi,City council/manager,,Terry Tornek,UTC−8 (Pacific)
Murfreesboro,United States, Tennessee,141344,108755,55.9 sq mi,Council–Manager,,Shane McFarland (R),UTC−6 (CST)
Miramar, United States, Florida,140823,122041,29.4 sq mi,Commission-Manager,,Wayne M. Messam,UTC-5 (EST)
Dayton,United States, Ohio,140640,141527,55.7 sq mi,,,Nan Whaley (D),UTC-5 (EST)
Fullerton, United States, California,139640,135161,22.4 sq mi,Council-Manager,,,UTC-8 (PST)
Olathe,United States, Kansas,139605,125872,60.9 sq mi,Mayor–Council,,Michael Copeland,UTC-6 (CST)
Orange, United States, California,139484,136416,25.4 sq mi,Council–Manager,,,UTC−08:00 (Pacific)
Thornton,United States, Colorado,139436,118772,35.7 sq mi,Home rule municipality,,Heidi K. Williams (Since 2011),UTC−7 (MST)
Roseville, United States, California,139117,118788,43.0 sq mi,Council-manager,,Susan Rohan,UTC−8 (Pacific)
Denton,United States, Texas,138541,113383,93.4 sq mi,Council–manager,,,UTC-6 (CST)
Waco, United States, Texas,138183,124805,89.0 sq mi,Council-manager,,,UTC−6 (Central)
Surprise,United States of America, Arizona,138161,117517,107.9 sq mi,,,Skip Hall,UTC-7 (MST (no DST))
Carrollton,United States, Texas,136879,119097,36.3 sq mi,Council-Manager,,Kevin Falconer,UTC-6 (Central)
West Valley City, United States, Utah,136401,129480,35.5 sq mi,,,Ron Bigelow (R),UTC−7 (Mountain (MST))
